epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.56392574,0.3211675049929783,0.40848807,0.3241553357962904
1,0.5862069,0.31372025814549676,0.40583554,0.33385242264846277
2,0.5803714,0.3085162544044955,0.5039788,0.3141848188022087
3,0.6270557,0.30488412482985133,0.49867374,0.3155185097250445
4,0.62175065,0.30179385347612975,0.59416443,0.30021281129327315
5,0.6302387,0.29797161838103986,0.66313,0.28705047482046586
6,0.63448274,0.29248602852739136,0.6100796,0.28753323698865957
7,0.6392573,0.2919493751279239,0.64190984,0.28273524806417266
8,0.6413793,0.29144117246414053,0.6259947,0.2896921711749044
9,0.64350134,0.28813421654290167,0.67639256,0.2831725164734084
10,0.66259944,0.28262773577509254,0.6366048,0.275452079444096
11,0.6615385,0.2803676247596741,0.50928384,0.30126073956489563
12,0.659947,0.2836162704845955,0.6366048,0.2727143769634181
13,0.67267907,0.27589592111521755,0.602122,0.28940187959835445
14,0.68381965,0.27422328611900065,0.6816976,0.2517331648489525
15,0.6758621,0.2771296257602757,0.7241379,0.2514404392447965
16,0.6615385,0.2730298531466517,0.7055703,0.2519868694502732
17,0.67002654,0.27000662766653916,0.64721483,0.2702487712276393
18,0.6848806,0.2688473697366386,0.66047746,0.2561093358130291
19,0.6816976,0.27059335955258074,0.58885944,0.2786522410039244
20,0.69496024,0.26263330136907515,0.71352786,0.30490848550508765
21,0.7066313,0.26095411386983147,0.6100796,0.27698110403685733
22,0.7050398,0.2584943201007514,0.7188329,0.2406259877928372
23,0.70079577,0.26318009624193456,0.72148544,0.24284584871653853
24,0.70450926,0.2595831437357541,0.7267904,0.2396589589530024
25,0.71564984,0.25572533360843,0.6790451,0.2471024787117695
26,0.7087533,0.2573698998525225,0.7612732,0.24760056209975276
27,0.72732097,0.25303215009385144,0.69496024,0.24015903421517076
28,0.732626,0.24331396972310954,0.68435013,0.2518146742006828
29,0.7299735,0.24647405574034,0.77453583,0.23130374478882756
30,0.72572947,0.24648101704901662,0.734748,0.24727745559708825
31,0.7299735,0.24245288659786357,0.71087533,0.23438279895946898
32,0.7236074,0.24451541602611543,0.56498677,0.30877887277767574
33,0.730504,0.23997954387089301,0.70291775,0.2475954134916437
34,0.7411141,0.24300193272787948,0.73740053,0.22701947391033173
35,0.72625995,0.2447244512623754,0.76657826,0.22578109980657182
36,0.733687,0.23864084281798068,0.795756,0.214690618473908
37,0.7469496,0.23233639207379572,0.7161804,0.2250813045378389
38,0.7490716,0.23231005560735177,0.6816976,0.24809687970013455
39,0.7570292,0.2299667736579632,0.7267904,0.22120134583834944
40,0.75278515,0.2303188745831621,0.5835544,0.3130261106737729
41,0.76498675,0.22680781329500263,0.7692308,0.21020128963322476
42,0.7628647,0.2319397257319812,0.64721483,0.26019234749777564
43,0.7612732,0.2226539010631627,0.7798408,0.21211141296501818
44,0.76551723,0.22533387829517496,0.63129973,0.2617509912314086
45,0.76498675,0.22985327290049914,0.7692308,0.21784642261677775
46,0.76551723,0.22415840291771397,0.75596815,0.22126490828292122
47,0.7618037,0.22664754267396597,0.72944295,0.22260551154613495
48,0.7618037,0.22771356110942775,0.72148544,0.22036947823804
49,0.76498675,0.22550453857101244,0.6976127,0.2240690272943727
50,0.76816976,0.22707944111577397,0.68700266,0.23463573692173795
51,0.76816976,0.22272316988172203,0.7877984,0.21159743980087084
52,0.77931035,0.21833794779818633,0.68435013,0.2364943572159471
53,0.76976126,0.22247785812821883,0.795756,0.22497617941478204
54,0.7623342,0.22211333405354927,0.7506631,0.22555404079371486
55,0.78037137,0.2156468423276112,0.7798408,0.2190578243341939
56,0.78090185,0.2134219638232527,0.7718833,0.21517619233706903
57,0.7729443,0.21458343395899082,0.734748,0.2206280354795785
58,0.77135277,0.22221008847499715,0.68700266,0.23521300533722186
59,0.77612734,0.21384274687232643,0.70291775,0.236927664485471
60,0.76976126,0.2202908665455621,0.72148544,0.2391937025662126
61,0.7883289,0.20813975452349104,0.76392573,0.2125888836794886
62,0.7814324,0.21214984167238762,0.7533156,0.21514976615535802
63,0.7846154,0.21135697847810284,0.7427056,0.22375193058416762
64,0.77931035,0.21174110975758784,0.74005306,0.214589799272603
65,0.77453583,0.21403725722740435,0.7453581,0.21178059331301985
66,0.7692308,0.21430601857859513,0.795756,0.23156803589442682
67,0.79469496,0.20754158327291752,0.77453583,0.23810538495409078
68,0.7798408,0.2135205235460709,0.74801064,0.21438641897563276
69,0.79363394,0.20042510238187067,0.7692308,0.20913994235211406
70,0.7782493,0.2145086862403771,0.78249335,0.20741705904746877
71,0.7883289,0.20351696970133945,0.7692308,0.21184961009642173
72,0.7771883,0.20800872825343034,0.7798408,0.2171885111722453
73,0.79787797,0.20512708631055107,0.7188329,0.2279466467684713
74,0.79310346,0.20489339746277907,0.72148544,0.2233810142196458
75,0.7973475,0.1997080258254347,0.7877984,0.20568546986785427
76,0.79628646,0.20303050500565561,0.79045093,0.20626172680279303
77,0.798939,0.2011822290461639,0.7506631,0.21762764582346225
78,0.79151195,0.20510440062859964,0.7082228,0.2297378197826188
79,0.79045093,0.20452142496561182,0.75596815,0.20479859463099775
80,0.8037135,0.1973432877711181,0.795756,0.2060098391154717
81,0.80689657,0.19385030076935372,0.79310346,0.20865305307610282
82,0.79310346,0.20528262314097634,0.7877984,0.19840891505109853
83,0.802122,0.19620609658545463,0.78249335,0.1972988887593664
84,0.8095491,0.1966957589161807,0.80106103,0.20953670118389459
85,0.798939,0.19847615690066897,0.73740053,0.21251903525714216
86,0.79522544,0.19820495160489246,0.7984085,0.20350835523728666
87,0.79787797,0.19930144129642124,0.64456236,0.2859120132594273
88,0.8015915,0.1957029011742822,0.7692308,0.19919272512197495
89,0.80901855,0.19793559076457187,0.7851459,0.2124471950890689
90,0.8015915,0.19694988203459773,0.7984085,0.20036852385463386
91,0.8047745,0.1952506676573178,0.7984085,0.2003096604141696
92,0.80530506,0.19772369645792862,0.79045093,0.20468629369961805
93,0.8037135,0.19502911367293063,0.7877984,0.1946884686576909
94,0.8005305,0.1920808543932849,0.78249335,0.2043547959163271
95,0.8190981,0.18518905418700185,0.7082228,0.2399441211901862
96,0.8143236,0.19267124477131614,0.73740053,0.21297171095321918
97,0.8100796,0.19153188364259127,0.7506631,0.2014917492352683
98,0.8143236,0.19032101045394767,0.7533156,0.20268179913019313
99,0.80795753,0.18894830060930087,0.76392573,0.2125692403522031
100,0.81962866,0.1868439221176608,0.806366,0.20540490284048277
101,0.8148541,0.1886910592687541,0.79310346,0.19968037512795678
102,0.80530506,0.19018560647964478,0.77453583,0.202756833156635
103,0.8111406,0.18939722465543912,0.8143236,0.2055575398021731
104,0.8095491,0.19603408708654602,0.7984085,0.20099061778907118
105,0.82015914,0.18402364932257553,0.79310346,0.21274444666402093
106,0.8122016,0.18510969168153302,0.80106103,0.1897151295481057
107,0.80265254,0.19108282641090196,0.76657826,0.21070910193796816
108,0.8222812,0.18446679020236278,0.7718833,0.2147464264055778
109,0.8206897,0.18246592442537177,0.8143236,0.21029248037214937
110,0.80901855,0.18918769308205308,0.81962866,0.20920139294246148
111,0.82175064,0.17981145602875742,0.7771883,0.2415513838159627
112,0.8233422,0.18281566140980557,0.77453583,0.2093631735649602
113,0.8127321,0.18749337635677435,0.7877984,0.22319315759272412
114,0.82440317,0.1856153283139755,0.7877984,0.19380189683930626
115,0.82175064,0.18544644772492605,0.74005306,0.21309020601469894
116,0.82440317,0.17863578184925277,0.72148544,0.22977220806582221
117,0.8137931,0.18026864199802795,0.7851459,0.2176003564020683
118,0.81697613,0.17813418623188446,0.79045093,0.1983262719265346
119,0.8312997,0.175874365583576,0.80901855,0.21587660163640976
120,0.8222812,0.18895179953040747,0.81962866,0.1959120199598115
121,0.82175064,0.18045961877395367,0.734748,0.2119957365352532
122,0.8366048,0.17497113776104203,0.80901855,0.1970669992011169
123,0.8259947,0.1763960306757483,0.7533156,0.21210028744977097
124,0.8376658,0.17243936966205464,0.66843504,0.2730732637232748
125,0.83395225,0.1749502055346966,0.7055703,0.24204536707236848
126,0.8122016,0.18811831327861753,0.80901855,0.19073728780294286
127,0.82758623,0.18133561061374073,0.734748,0.19274516455058394
128,0.8095491,0.1856150159548069,0.8143236,0.21620232072369805
129,0.8286472,0.17617525340154253,0.7612732,0.21198158274436818
130,0.81644565,0.1813812468586297,0.80901855,0.20380195538545476
131,0.8127321,0.18571054986838637,0.7055703,0.24089134099154635
132,0.8259947,0.1728875244485921,0.80901855,0.18641659283432468
133,0.8265252,0.17233746822538046,0.7851459,0.25552010382043905
134,0.82440317,0.17623063292482805,0.7692308,0.19808534455710444
135,0.83342177,0.17264805682774248,0.71087533,0.22562009687053747
136,0.8392573,0.1722664214670658,0.7771883,0.1916547140170788
137,0.8419098,0.16865584786082136,0.77453583,0.2083149228630395
138,0.83342177,0.1699449198256279,0.8143236,0.24356435643958635
139,0.8312997,0.17123259848047948,0.7877984,0.19860477488616418
140,0.82917774,0.17517491239925911,0.7612732,0.21996484195877766
141,0.8297082,0.16941655373265002,0.8116711,0.19143121175724884
142,0.8249337,0.1756744562551893,0.76657826,0.19820847901804695
143,0.82758623,0.17093317267195932,0.70291775,0.2332511451737634
144,0.8498674,0.159048544024599,0.76657826,0.21657088270475125
145,0.83236074,0.18155282178315624,0.7692308,0.20241705379609404
146,0.8424403,0.1608510122730814,0.7586207,0.20802311522179637
147,0.82917774,0.1757763612373122,0.7612732,0.20340001197724505
148,0.83183026,0.17471458953002403,0.8116711,0.18888707998497734
149,0.82281166,0.1772971584879119,0.79045093,0.1952858353997099
150,0.8419098,0.16499910678329138,0.81697613,0.1979469184217782
151,0.8376658,0.16830435580220715,0.7692308,0.2141204877146359
152,0.8413793,0.1612135545446955,0.7771883,0.19855699456971268
153,0.8360743,0.16798151055800503,0.7427056,0.2246297186818616
154,0.8350133,0.16653996695732248,0.67639256,0.28544493944480503
155,0.83554375,0.1682319992061319,0.6923077,0.25368693856329755
156,0.8366048,0.17229213578433827,0.77453583,0.19746526561934372
157,0.84509283,0.16707088921604485,0.806366,0.19766062138409451
158,0.8403183,0.1675737570842792,0.734748,0.22209573228811397
159,0.84933686,0.16618607673665572,0.72148544,0.22032611996963106
160,0.83236074,0.16938853004369242,0.8249337,0.18254360376760878
161,0.84774536,0.16549232566151126,0.806366,0.24568868582618647
162,0.8419098,0.16489801481366156,0.71087533,0.23716297077721563
163,0.8328912,0.16794662830130808,0.7533156,0.20857267839641408
164,0.82758623,0.17516856447889886,0.77453583,0.19862123784320107
165,0.83713526,0.17194993560170305,0.80901855,0.19513724821394887
166,0.8578249,0.1595977319982545,0.8381963,0.20322559504159565
167,0.84933686,0.15874069893154605,0.795756,0.1968510577390934
168,0.8397878,0.16674757476510674,0.795756,0.20322664094896153
