epoch,loss,tani_coeff,val_loss,val_tani_coeff
0,0.2773291329674811,0.76495886,0.4413311729828517,0.60794586
1,0.21314077493492287,0.84565437,0.2628442992766698,0.7314176
2,0.1886082615699219,0.86812586,0.2286098599433899,0.77806896
3,0.17223430158423955,0.88250905,0.17483488221963248,0.89934593
4,0.15765691902550352,0.89606774,0.142488827308019,0.92452765
5,0.14646232299762443,0.90803325,0.15527057647705078,0.9128569
6,0.14123813974632907,0.9120682,0.1851409375667572,0.8592774
7,0.13546119747499824,0.9181076,0.14997671047846475,0.913824
8,0.1303378831376533,0.9235834,0.14205693205197653,0.9226274
9,0.12541304999015657,0.9287273,0.16050757467746735,0.90670866
10,0.12289747123834435,0.9304778,0.1492817501227061,0.9195089
11,0.11927442277388715,0.9324769,0.1532025138537089,0.90418196
12,0.11484394952704344,0.93731946,0.15938887000083923,0.8972034
13,0.1152680524163864,0.93811154,0.15176170070966086,0.9096582
14,0.11207797169553349,0.94080883,0.1267916957537333,0.9403779
15,0.1096518648291215,0.9434175,0.15157601237297058,0.91833633
16,0.10686535257041653,0.9455654,0.1429614027341207,0.9204933
17,0.10596167915815267,0.9458895,0.13998384277025858,0.9262505
18,0.10494611512122888,0.94730055,0.15855160355567932,0.92176104
19,0.10330022688323873,0.9489771,0.14502713084220886,0.923837
20,0.10255244859429292,0.9493556,0.16920576492945352,0.902456
21,0.1017283080754222,0.950168,0.15794343749682108,0.9182599
22,0.09955139545639224,0.95196736,0.16457515954971313,0.9190429
23,0.09944440766030371,0.9523352,0.1505091885725657,0.9226784
24,0.09814002816199201,0.9536305,0.15040483077367148,0.9319039
25,0.09774866538454396,0.9537572,0.13826305667559305,0.9351898
26,0.09775959389286316,0.95327514,0.15665442248185477,0.92138964
27,0.09610744175456819,0.9549916,0.14857395986715952,0.92778057
28,0.09579200740668464,0.95497227,0.14009186625480652,0.9373271
29,0.09586782784821055,0.955446,0.152326966325442,0.9231913
